day,distance(m)
2021-06-18,333.0
2021-06-19,8400.0
2021-06-20,4000.0
2021-06-21,4900.0
2021-06-22,640.0
2021-06-23,3300.0
2021-06-24,7000.0
2021-06-25,4300.0
2021-06-26,5900.0
2021-06-27,4400.0
2021-06-28,1800.0
2021-06-29,4400.0
2021-06-30,6800.0
2021-07-01,6100.0
2021-07-02,6600.0
2021-07-03,11200.0
2021-07-04,6500.0
2021-07-05,3300.0
2021-07-06,1500.0
2021-07-07,2500.0
2021-07-08,4500.0
2021-07-09,6200.0
2021-07-10,6600.0
2021-07-11,4300.0
2021-07-12,7600.0
2021-07-13,3700.0
2021-07-14,3600.0
2021-07-15,2800.0
2021-07-16,7500.0
2021-07-17,6400.0
2021-07-18,6500.0
2021-07-19,7300.0
2021-07-20,3000.0
2021-07-21,9500.0
2021-07-22,6300.0
2021-07-23,2300.0
2021-07-24,4500.0
2021-07-25,4000.0
2021-07-26,6700.0
2021-07-27,4500.0
2021-07-28,6200.0
2021-07-29,3500.0
2021-07-30,6400.0
2021-07-31,3000.0
2021-08-01,3600.0
2021-08-02,6600.0
2021-08-03,7300.0
2021-08-04,1500.0
2021-08-05,4700.0
2021-08-06,4000.0
2021-08-07,7200.0
2021-08-08,3000.0
2021-08-09,5300.0
2021-08-10,3200.0
2021-08-11,2600.0
2021-08-12,5200.0
2021-08-13,2000.0
2021-08-14,6400.0
2021-08-15,3100.0
2021-08-16,5300.0
2021-08-17,5100.0
2021-08-18,4300.0
2021-08-19,4900.0
2021-08-20,6400.0
2021-08-21,2600.0
2021-08-22,4000.0
2021-08-23,3000.0
2021-08-24,4600.0
2021-08-25,2300.0
2021-08-26,7500.0
2021-08-27,5700.0
2021-08-28,4000.0
2021-08-29,3900.0
2021-08-30,4400.0
2021-08-31,4200.0
2021-09-01,2700.0
2021-09-02,1800.0
2021-09-03,2100.0
2021-09-04,5100.0
2021-09-05,6400.0
2021-09-06,3600.0
2021-09-07,1000.0
2021-09-08,3500.0
2021-09-09,2500.0
2021-09-10,2800.0
2021-09-11,3300.0
2021-09-12,3100.0
2021-09-13,596.0
2021-09-14,1900.0
2021-09-15,2600.0
2021-09-16,2600.0
2021-09-17,4500.0
2021-09-18,7100.0
2021-09-19,2300.0
2021-09-20,4600.0
2021-09-21,1500.0
2021-09-22,3900.0
2021-09-23,1900.0
2021-09-24,5000.0
2021-09-25,7300.0
2021-09-26,1800.0
2021-09-27,3100.0
2021-09-28,771.0
2021-09-29,2100.0
2021-09-30,7400.0
2021-10-01,2700.0
2021-10-02,937.0
2021-10-03,140.0
2021-10-04,4100.0
2021-10-05,146.0
2021-10-06,3400.0
2021-10-07,4400.0
2021-10-08,1400.0
2021-10-09,1000.0
2021-10-10,2700.0
2021-10-11,2300.0
2021-10-12,5300.0
2021-10-13,4500.0
2021-10-14,3800.0
2021-10-15,4200.0
2021-10-16,5300.0
2021-10-17,6200.0
2021-10-18,2500.0
2021-10-19,2800.0
2021-10-20,4100.0
2021-10-21,2200.0
2021-10-22,1200.0
2021-10-23,2700.0
2021-10-24,4100.0
2021-10-25,3000.0
2021-10-26,1300.0
2021-10-27,2400.0
2021-10-28,3800.0
2021-10-29,1800.0
2021-10-30,4400.0
2021-10-31,2300.0
2021-11-01,908.0
2021-11-02,1600.0
